Percent,Percent_Rating,Percent_Statement,PercentR,Percent_RatingR
2,7,I am 80% sure that,-2,-2
-3,3,I am 10% sure that,3,2
-1,4,I am 40% sure that,1,1
3,7,I am 90% sure that,-3,-2
2,7,I am 80% sure that,-2,-2
-2,2,I am 20% sure that,2,3
-3,1,I am 10% sure that,3,4
-1,6,I am 40% sure that,1,-1
0,6,I am 50% sure that,-0,-1
1,7,I am 60% sure that,-1,-2
2,7,I am 80% sure that,-2,-2
3,5,I am 90% sure that,-3,-0
-3,2,I am 10% sure that,3,3
1,6,I am 60% sure that,-1,-1
-1,4,I am 40% sure that,1,1
0,6,I am 50% sure that,-0,-1
-2,2,I am 20% sure that,2,3
1,6,I am 60% sure that,-1,-1
-2,3,I am 20% sure that,2,2
-1,3,I am 40% sure that,1,2
0,4,I am 50% sure that,-0,1
-3,6,I am 10% sure that,3,-1
2,9,I am 80% sure that,-2,-4
1,6,I am 60% sure that,-1,-1
3,3,I am 90% sure that,-3,2
-2,6,I am 20% sure that,2,-1
0,4,I am 50% sure that,-0,1
0,7,I am 50% sure that,-0,-2
3,9,I am 90% sure that,-3,-4
-1,4,I am 40% sure that,1,1
2,6,I am 80% sure that,-2,-1
-3,3,I am 10% sure that,3,2
3,8,I am 90% sure that,-3,-3
-2,2,I am 20% sure that,2,3
-1,3,I am 40% sure that,1,2
-2,6,I am 20% sure that,2,-1
1,6,I am 60% sure that,-1,-1
3,8,I am 90% sure that,-3,-3
1,6,I am 60% sure that,-1,-1
0,5,I am 50% sure that,-0,-0
-1,3,I am 40% sure that,1,2
-3,6,I am 10% sure that,3,-1
-3,2,I am 10% sure that,3,3
-3,6,I am 10% sure that,3,-1
1,6,I am 60% sure that,-1,-1
2,7,I am 80% sure that,-2,-2
1,6,I am 60% sure that,-1,-1
0,3,I am 50% sure that,-0,2
2,7,I am 80% sure that,-2,-2
-2,8,I am 20% sure that,2,-3
3,7,I am 90% sure that,-3,-2
-1,4,I am 40% sure that,1,1
-3,8,I am 10% sure that,3,-3
-3,2,I am 10% sure that,3,3
-1,4,I am 40% sure that,1,1
-2,2,I am 20% sure that,2,3
3,7,I am 90% sure that,-3,-2
-1,4,I am 40% sure that,1,1
2,7,I am 80% sure that,-2,-2
2,8,I am 80% sure that,-2,-3
-2,1,I am 20% sure that,2,4
0,5,I am 50% sure that,-0,-0
-1,4,I am 40% sure that,1,1
1,4,I am 60% sure that,-1,1
2,7,I am 80% sure that,-2,-2
-3,5,I am 10% sure that,3,-0
0,5,I am 50% sure that,-0,-0
2,7,I am 80% sure that,-2,-2
3,8,I am 90% sure that,-3,-3
-2,2,I am 20% sure that,2,3
2,6,I am 80% sure that,-2,-1
1,6,I am 60% sure that,-1,-1
-2,3,I am 20% sure that,2,2
3,7,I am 90% sure that,-3,-2
1,3,I am 60% sure that,-1,2
-3,1,I am 10% sure that,3,4
0,5,I am 50% sure that,-0,-0
-1,4,I am 40% sure that,1,1
3,8,I am 90% sure that,-3,-3
-1,4,I am 40% sure that,1,1
0,5,I am 50% sure that,-0,-0
-2,2,I am 20% sure that,2,3
2,7,I am 80% sure that,-2,-2
-3,4,I am 10% sure that,3,1
1,7,I am 60% sure that,-1,-2
0,4,I am 50% sure that,-0,1
0,4,I am 50% sure that,-0,1
2,6,I am 80% sure that,-2,-1
1,5,I am 60% sure that,-1,-0
1,5,I am 60% sure that,-1,-0
3,8,I am 90% sure that,-3,-3
3,7,I am 90% sure that,-3,-2
-3,2,I am 10% sure that,3,3
0,5,I am 50% sure that,-0,-0
2,7,I am 80% sure that,-2,-2
-1,6,I am 40% sure that,1,-1
-3,2,I am 10% sure that,3,3
-1,4,I am 40% sure that,1,1
2,7,I am 80% sure that,-2,-2
-2,6,I am 20% sure that,2,-1
3,7,I am 90% sure that,-3,-2
-1,6,I am 40% sure that,1,-1
-1,3,I am 40% sure that,1,2
-2,2,I am 20% sure that,2,3
3,7,I am 90% sure that,-3,-2
-3,3,I am 10% sure that,3,2
1,6,I am 60% sure that,-1,-1
1,6,I am 60% sure that,-1,-1
0,7,I am 50% sure that,-0,-2
2,6,I am 80% sure that,-2,-1
-2,3,I am 20% sure that,2,2
-2,5,I am 20% sure that,2,-0
2,7,I am 80% sure that,-2,-2
-1,4,I am 40% sure that,1,1
-3,2,I am 10% sure that,3,3
3,8,I am 90% sure that,-3,-3
-3,8,I am 10% sure that,3,-3
1,4,I am 60% sure that,-1,1
-1,2,I am 40% sure that,1,3
0,5,I am 50% sure that,-0,-0
3,8,I am 90% sure that,-3,-3
2,7,I am 80% sure that,-2,-2
-2,6,I am 20% sure that,2,-1
0,5,I am 50% sure that,-0,-0
-3,2,I am 10% sure that,3,3
-2,3,I am 20% sure that,2,2
3,8,I am 90% sure that,-3,-3
0,5,I am 50% sure that,-0,-0
-2,2,I am 20% sure that,2,3
-3,1,I am 10% sure that,3,4
1,6,I am 60% sure that,-1,-1
3,8,I am 90% sure that,-3,-3
2,7,I am 80% sure that,-2,-2
0,5,I am 50% sure that,-0,-0
2,3,I am 80% sure that,-2,2
1,6,I am 60% sure that,-1,-1
-3,1,I am 10% sure that,3,4
-2,1,I am 20% sure that,2,4
1,6,I am 60% sure that,-1,-1
-1,6,I am 40% sure that,1,-1
-1,3,I am 40% sure that,1,2
3,7,I am 90% sure that,-3,-2
-1,6,I am 40% sure that,1,-1
2,7,I am 80% sure that,-2,-2
3,8,I am 90% sure that,-3,-3
-3,2,I am 10% sure that,3,3
-2,3,I am 20% sure that,2,2
-2,6,I am 20% sure that,2,-1
1,6,I am 60% sure that,-1,-1
1,4,I am 60% sure that,-1,1
-2,2,I am 20% sure that,2,3
2,7,I am 80% sure that,-2,-2
3,8,I am 90% sure that,-3,-3
3,7,I am 90% sure that,-3,-2
-1,4,I am 40% sure that,1,1
0,2,I am 50% sure that,-0,3
0,3,I am 50% sure that,-0,2
-1,4,I am 40% sure that,1,1
-3,2,I am 10% sure that,3,3
2,7,I am 80% sure that,-2,-2
1,6,I am 60% sure that,-1,-1
0,6,I am 50% sure that,-0,-1
0,6,I am 50% sure that,-0,-1
-3,2,I am 10% sure that,3,3
3,9,I am 90% sure that,-3,-4
-1,4,I am 40% sure that,1,1
-2,2,I am 20% sure that,2,3
2,6,I am 80% sure that,-2,-1
-2,2,I am 20% sure that,2,3
1,6,I am 60% sure that,-1,-1
-3,6,I am 10% sure that,3,-1
-3,2,I am 10% sure that,3,3
-1,3,I am 40% sure that,1,2
2,7,I am 80% sure that,-2,-2
0,6,I am 50% sure that,-0,-1
0,5,I am 50% sure that,-0,-0
3,8,I am 90% sure that,-3,-3
1,6,I am 60% sure that,-1,-1
2,7,I am 80% sure that,-2,-2
1,6,I am 60% sure that,-1,-1
-3,1,I am 10% sure that,3,4
2,5,I am 80% sure that,-2,-0
-1,3,I am 40% sure that,1,2
-2,6,I am 20% sure that,2,-1
0,5,I am 50% sure that,-0,-0
3,8,I am 90% sure that,-3,-3
0,5,I am 50% sure that,-0,-0
-1,8,I am 40% sure that,1,-3
-2,5,I am 20% sure that,2,-0
-2,6,I am 20% sure that,2,-1
2,7,I am 80% sure that,-2,-2
-3,2,I am 10% sure that,3,3
0,5,I am 50% sure that,-0,-0
-1,3,I am 40% sure that,1,2
3,8,I am 90% sure that,-3,-3
0,6,I am 50% sure that,-0,-1
3,6,I am 90% sure that,-3,-1
-2,1,I am 20% sure that,2,4
1,5,I am 60% sure that,-1,-0
3,7,I am 90% sure that,-3,-2
1,6,I am 60% sure that,-1,-1
-2,4,I am 20% sure that,2,1
-3,5,I am 10% sure that,3,-0
-3,4,I am 10% sure that,3,1
1,5,I am 60% sure that,-1,-0
-3,2,I am 10% sure that,3,3
-1,4,I am 40% sure that,1,1
1,3,I am 60% sure that,-1,2
2,7,I am 80% sure that,-2,-2
1,6,I am 60% sure that,-1,-1
0,5,I am 50% sure that,-0,-0
-1,4,I am 40% sure that,1,1
2,7,I am 80% sure that,-2,-2
-3,6,I am 10% sure that,3,-1
3,8,I am 90% sure that,-3,-3
-2,4,I am 20% sure that,2,1
-1,4,I am 40% sure that,1,1
0,5,I am 50% sure that,-0,-0
-3,1,I am 10% sure that,3,4
3,7,I am 90% sure that,-3,-2
1,4,I am 60% sure that,-1,1
1,3,I am 60% sure that,-1,2
2,7,I am 80% sure that,-2,-2
3,8,I am 90% sure that,-3,-3
2,7,I am 80% sure that,-2,-2
-1,6,I am 40% sure that,1,-1
0,6,I am 50% sure that,-0,-1
3,8,I am 90% sure that,-3,-3
-2,2,I am 20% sure that,2,3
0,5,I am 50% sure that,-0,-0
2,7,I am 80% sure that,-2,-2
-1,4,I am 40% sure that,1,1
-3,2,I am 10% sure that,3,3
-2,1,I am 20% sure that,2,4
-3,1,I am 10% sure that,3,4
2,7,I am 80% sure that,-2,-2
2,6,I am 80% sure that,-2,-1
-1,4,I am 40% sure that,1,1
1,6,I am 60% sure that,-1,-1
3,7,I am 90% sure that,-3,-2
1,6,I am 60% sure that,-1,-1
2,7,I am 80% sure that,-2,-2
-2,5,I am 20% sure that,2,-0
-1,1,I am 40% sure that,1,4
-2,4,I am 20% sure that,2,1
0,4,I am 50% sure that,-0,1
0,5,I am 50% sure that,-0,-0
0,3,I am 50% sure that,-0,2
-1,3,I am 40% sure that,1,2
-1,4,I am 40% sure that,1,1
3,7,I am 90% sure that,-3,-2
1,6,I am 60% sure that,-1,-1
-2,2,I am 20% sure that,2,3
-3,2,I am 10% sure that,3,3
-2,3,I am 20% sure that,2,2
-3,2,I am 10% sure that,3,3
-3,2,I am 10% sure that,3,3
0,5,I am 50% sure that,-0,-0
1,5,I am 60% sure that,-1,-0
2,7,I am 80% sure that,-2,-2
-3,3,I am 10% sure that,3,2
3,8,I am 90% sure that,-3,-3
3,8,I am 90% sure that,-3,-3
3,7,I am 90% sure that,-3,-2
2,7,I am 80% sure that,-2,-2
-1,4,I am 40% sure that,1,1
-1,4,I am 40% sure that,1,1
-2,2,I am 20% sure that,2,3
3,8,I am 90% sure that,-3,-3
0,5,I am 50% sure that,-0,-0
-3,2,I am 10% sure that,3,3
1,6,I am 60% sure that,-1,-1
0,6,I am 50% sure that,-0,-1
-2,3,I am 20% sure that,2,2
1,9,I am 60% sure that,-1,-4
3,5,I am 90% sure that,-3,-0
-1,3,I am 40% sure that,1,2
-2,3,I am 20% sure that,2,2
3,6,I am 90% sure that,-3,-1
0,4,I am 50% sure that,-0,1
1,6,I am 60% sure that,-1,-1
0,5,I am 50% sure that,-0,-0
2,7,I am 80% sure that,-2,-2
-3,1,I am 10% sure that,3,4
-3,8,I am 10% sure that,3,-3
1,6,I am 60% sure that,-1,-1
2,8,I am 80% sure that,-2,-3
-1,4,I am 40% sure that,1,1
2,7,I am 80% sure that,-2,-2
-3,2,I am 10% sure that,3,3
-1,2,I am 40% sure that,1,3
-2,3,I am 20% sure that,2,2
-1,6,I am 40% sure that,1,-1
-2,2,I am 20% sure that,2,3
2,7,I am 80% sure that,-2,-2
3,8,I am 90% sure that,-3,-3
2,7,I am 80% sure that,-2,-2
-2,2,I am 20% sure that,2,3
-2,3,I am 20% sure that,2,2
-3,1,I am 10% sure that,3,4
0,5,I am 50% sure that,-0,-0
3,8,I am 90% sure that,-3,-3
2,7,I am 80% sure that,-2,-2
3,8,I am 90% sure that,-3,-3
1,6,I am 60% sure that,-1,-1
-1,1,I am 40% sure that,1,4
0,3,I am 50% sure that,-0,2
3,8,I am 90% sure that,-3,-3
-3,6,I am 10% sure that,3,-1
1,6,I am 60% sure that,-1,-1
-3,3,I am 10% sure that,3,2
-2,2,I am 20% sure that,2,3
-1,4,I am 40% sure that,1,1
2,9,I am 80% sure that,-2,-4
-2,2,I am 20% sure that,2,3
-1,4,I am 40% sure that,1,1
1,6,I am 60% sure that,-1,-1
-3,2,I am 10% sure that,3,3
0,5,I am 50% sure that,-0,-0
-3,2,I am 10% sure that,3,3
3,8,I am 90% sure that,-3,-3
3,8,I am 90% sure that,-3,-3
1,6,I am 60% sure that,-1,-1
2,7,I am 80% sure that,-2,-2
-1,4,I am 40% sure that,1,1
0,4,I am 50% sure that,-0,1
2,7,I am 80% sure that,-2,-2
0,5,I am 50% sure that,-0,-0
2,7,I am 80% sure that,-2,-2
0,5,I am 50% sure that,-0,-0
-2,1,I am 20% sure that,2,4
-1,5,I am 40% sure that,1,-0
3,8,I am 90% sure that,-3,-3
1,6,I am 60% sure that,-1,-1
-2,2,I am 20% sure that,2,3
-3,2,I am 10% sure that,3,3
2,6,I am 80% sure that,-2,-1
1,6,I am 60% sure that,-1,-1
-2,4,I am 20% sure that,2,1
-3,3,I am 10% sure that,3,2
3,8,I am 90% sure that,-3,-3
3,7,I am 90% sure that,-3,-2
1,6,I am 60% sure that,-1,-1
-2,5,I am 20% sure that,2,-0
0,5,I am 50% sure that,-0,-0
-1,5,I am 40% sure that,1,-0
1,4,I am 60% sure that,-1,1
-3,1,I am 10% sure that,3,4
1,6,I am 60% sure that,-1,-1
-1,4,I am 40% sure that,1,1
0,5,I am 50% sure that,-0,-0
2,6,I am 80% sure that,-2,-1
-3,1,I am 10% sure that,3,4
-1,6,I am 40% sure that,1,-1
0,5,I am 50% sure that,-0,-0
-2,3,I am 20% sure that,2,2
3,8,I am 90% sure that,-3,-3
-2,4,I am 20% sure that,2,1
3,7,I am 90% sure that,-3,-2
1,5,I am 60% sure that,-1,-0
-1,4,I am 40% sure that,1,1
-3,3,I am 10% sure that,3,2
-2,2,I am 20% sure that,2,3
2,7,I am 80% sure that,-2,-2
0,5,I am 50% sure that,-0,-0
-1,4,I am 40% sure that,1,1
0,4,I am 50% sure that,-0,1
2,8,I am 80% sure that,-2,-3
2,6,I am 80% sure that,-2,-1
3,9,I am 90% sure that,-3,-4
1,7,I am 60% sure that,-1,-2
-3,2,I am 10% sure that,3,3
3,8,I am 90% sure that,-3,-3
-1,5,I am 40% sure that,1,-0
-3,4,I am 10% sure that,3,1
-2,3,I am 20% sure that,2,2
2,6,I am 80% sure that,-2,-1
1,6,I am 60% sure that,-1,-1
1,6,I am 60% sure that,-1,-1
1,6,I am 60% sure that,-1,-1
0,5,I am 50% sure that,-0,-0
3,8,I am 90% sure that,-3,-3
0,5,I am 50% sure that,-0,-0
-1,4,I am 40% sure that,1,1
-2,3,I am 20% sure that,2,2
-3,1,I am 10% sure that,3,4
-1,4,I am 40% sure that,1,1
-2,1,I am 20% sure that,2,4
1,5,I am 60% sure that,-1,-0
1,4,I am 60% sure that,-1,1
3,8,I am 90% sure that,-3,-3
0,4,I am 50% sure that,-0,1
2,5,I am 80% sure that,-2,-0
3,7,I am 90% sure that,-3,-2
0,6,I am 50% sure that,-0,-1
2,7,I am 80% sure that,-2,-2
1,6,I am 60% sure that,-1,-1
-2,4,I am 20% sure that,2,1
3,6,I am 90% sure that,-3,-1
-3,3,I am 10% sure that,3,2
-3,1,I am 10% sure that,3,4
3,7,I am 90% sure that,-3,-2
-1,4,I am 40% sure that,1,1
-3,1,I am 10% sure that,3,4
3,7,I am 90% sure that,-3,-2
2,7,I am 80% sure that,-2,-2
2,7,I am 80% sure that,-2,-2
2,7,I am 80% sure that,-2,-2
-3,3,I am 10% sure that,3,2
1,5,I am 60% sure that,-1,-0
-2,3,I am 20% sure that,2,2
2,7,I am 80% sure that,-2,-2
-3,2,I am 10% sure that,3,3
-2,3,I am 20% sure that,2,2
0,6,I am 50% sure that,-0,-1
0,4,I am 50% sure that,-0,1
-2,1,I am 20% sure that,2,4
-1,4,I am 40% sure that,1,1
-1,2,I am 40% sure that,1,3
-1,4,I am 40% sure that,1,1
2,7,I am 80% sure that,-2,-2
1,7,I am 60% sure that,-1,-2
0,6,I am 50% sure that,-0,-1
-1,4,I am 40% sure that,1,1
3,8,I am 90% sure that,-3,-3
2,6,I am 80% sure that,-2,-1
-3,1,I am 10% sure that,3,4
1,6,I am 60% sure that,-1,-1
3,7,I am 90% sure that,-3,-2
0,6,I am 50% sure that,-0,-1
-2,3,I am 20% sure that,2,2
-1,7,I am 40% sure that,1,-2
-3,1,I am 10% sure that,3,4
-2,6,I am 20% sure that,2,-1
3,8,I am 90% sure that,-3,-3
2,7,I am 80% sure that,-2,-2
-3,7,I am 10% sure that,3,-2
1,6,I am 60% sure that,-1,-1
1,5,I am 60% sure that,-1,-0
-1,4,I am 40% sure that,1,1
1,6,I am 60% sure that,-1,-1
0,7,I am 50% sure that,-0,-2
-1,3,I am 40% sure that,1,2
0,2,I am 50% sure that,-0,3
1,6,I am 60% sure that,-1,-1
3,8,I am 90% sure that,-3,-3
-3,2,I am 10% sure that,3,3
-2,1,I am 20% sure that,2,4
2,6,I am 80% sure that,-2,-1
-3,1,I am 10% sure that,3,4
2,7,I am 80% sure that,-2,-2
-2,4,I am 20% sure that,2,1
3,8,I am 90% sure that,-3,-3
2,7,I am 80% sure that,-2,-2
-2,2,I am 20% sure that,2,3
3,7,I am 90% sure that,-3,-2
-1,3,I am 40% sure that,1,2
1,6,I am 60% sure that,-1,-1
0,5,I am 50% sure that,-0,-0
-3,2,I am 10% sure that,3,3
0,5,I am 50% sure that,-0,-0
-2,7,I am 20% sure that,2,-2
-1,4,I am 40% sure that,1,1
0,5,I am 50% sure that,-0,-0
0,6,I am 50% sure that,-0,-1
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,4,I am 1% sure that,4,1
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,2,I am 1% sure that,4,3
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,4,I am 1% sure that,4,1
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,9,I am 1% sure that,4,-4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,2,I am 1% sure that,4,3
-4,1,I am 1% sure that,4,4
-4,3,I am 1% sure that,4,2
-4,3,I am 1% sure that,4,2
-4,3,I am 1% sure that,4,2
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
-4,1,I am 1% sure that,4,4
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,6,I am 99% sure that,-4,-1
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,6,I am 99% sure that,-4,-1
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,7,I am 99% sure that,-4,-2
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,7,I am 99% sure that,-4,-2
4,6,I am 99% sure that,-4,-1
4,8,I am 99% sure that,-4,-3
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,7,I am 99% sure that,-4,-2
4,8,I am 99% sure that,-4,-3
4,6,I am 99% sure that,-4,-1
4,9,I am 99% sure that,-4,-4
4,8,I am 99% sure that,-4,-3
4,7,I am 99% sure that,-4,-2
4,7,I am 99% sure that,-4,-2
4,8,I am 99% sure that,-4,-3
4,7,I am 99% sure that,-4,-2
4,9,I am 99% sure that,-4,-4
4,8,I am 99% sure that,-4,-3
4,7,I am 99% sure that,-4,-2
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,8,I am 99% sure that,-4,-3
4,7,I am 99% sure that,-4,-2
4,9,I am 99% sure that,-4,-4
4,6,I am 99% sure that,-4,-1
